target,term,Exact,Inferred
Black,$T_i$,1.7183631376594726,0.1834956407546997
Black,$\Gamma_i$,5.232606865421088,0.12722332775592804
Black,$\nu_{iii}$,-32.69229678119011,-5.067413806915283
Black,$\nu_{iij}$,3.8468487648737466,0.28343579173088074
Black,$\nu_{ijj}$,9.856062799745882,1.1222927570343018
Black,$k_{ii}$,17.4193447103632,0.5643946528434753
Black,$k_{ij}$,-9.496633097666733,-1.9466034173965454
White,$T_i$,0.3755539904546736,0.19546133279800415
White,$\Gamma_i$,2.4616512730183318,0.2667137086391449
White,$\nu_{iii}$,-6.40074002350609,-0.7038015127182007
White,$\nu_{iij}$,-18.90620845706837,-1.640109896659851
White,$\nu_{ijj}$,-18.60873560375226,-2.1790778636932373
White,$k_{ii}$,7.311385761355476,1.152217984199524
White,$k_{ij}$,15.983193416357306,2.048487901687622
